tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7
g__Dehalococcoides,f__Dehalococcoidaceae,rank_6,g__Dehalococcoides,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Dehalococcoidia,o__Dehalococcoidales,f__Dehalococcoidaceae,g__Dehalococcoides,
s__Dehalococcoides_mccartyi,g__Dehalococcoides,rank_7,s__Dehalococcoides_mccartyi,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Dehalococcoidia,o__Dehalococcoidales,f__Dehalococcoidaceae,g__Dehalococcoides,s__Dehalococcoides_mccartyi
c__Ktedonobacteria,p__Chloroflexi,rank_3,c__Ktedonobacteria,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Ktedonobacteria,,,,
o__Ktedonobacterales,c__Ktedonobacteria,rank_4,o__Ktedonobacterales,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Ktedonobacterales,,,
f__Ktedonobacteraceae,o__Ktedonobacterales,rank_5,f__Ktedonobacteraceae,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Ktedonobacterales,f__Ktedonobacteraceae,,
g__Ktedonobacter,f__Ktedonobacteraceae,rank_6,g__Ktedonobacter,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Ktedonobacterales,f__Ktedonobacteraceae,g__Ktedonobacter,
s__Ktedonobacter_racemifer,g__Ktedonobacter,rank_7,s__Ktedonobacter_racemifer,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Ktedonobacterales,f__Ktedonobacteraceae,g__Ktedonobacter,s__Ktedonobacter_racemifer
c__Thermomicrobia,p__Chloroflexi,rank_3,c__Thermomicrobia,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Thermomicrobia,,,,
o__Sphaerobacterales,c__Thermomicrobia,rank_4,o__Sphaerobacterales,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Thermomicrobia,o__Sphaerobacterales,,,
f__Sphaerobacteraceae,o__Sphaerobacterales,rank_5,f__Sphaerobacteraceae,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Thermomicrobia,o__Sphaerobacterales,f__Sphaerobacteraceae,,
g__Sphaerobacter,f__Sphaerobacteraceae,rank_6,g__Sphaerobacter,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Thermomicrobia,o__Sphaerobacterales,f__Sphaerobacteraceae,g__Sphaerobacter,
s__Sphaerobacter_thermophilus,g__Sphaerobacter,rank_7,s__Sphaerobacter_thermophilus,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Thermomicrobia,o__Sphaerobacterales,f__Sphaerobacteraceae,g__Sphaerobacter,s__Sphaerobacter_thermophilus
o__Thermomicrobiales,c__Thermomicrobia,rank_4,o__Thermomicrobiales,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Thermomicrobia,o__Thermomicrobiales,,,
f__Thermomicrobiaceae,o__Thermomicrobiales,rank_5,f__Thermomicrobiaceae,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Thermomicrobia,o__Thermomicrobiales,f__Thermomicrobiaceae,,
g__Thermomicrobium,f__Thermomicrobiaceae,rank_6,g__Thermomicrobium,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Thermomicrobia,o__Thermomicrobiales,f__Thermomicrobiaceae,g__Thermomicrobium,
s__Thermomicrobium_roseum,g__Thermomicrobium,rank_7,s__Thermomicrobium_roseum,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Thermomicrobia,o__Thermomicrobiales,f__Thermomicrobiaceae,g__Thermomicrobium,s__Thermomicrobium_roseum
p__Chrysiogenetes,d__Bacteria,rank_2,p__Chrysiogenetes,Root,r__Root,d__Bacteria,p__Chrysiogenetes,,,,,
c__Chrysiogenetes,p__Chrysiogenetes,rank_3,c__Chrysiogenetes,Root,r__Root,d__Bacteria,p__Chrysiogenetes,c__Chrysiogenetes,,,,
o__Chrysiogenales,c__Chrysiogenetes,rank_4,o__Chrysiogenales,Root,r__Root,d__Bacteria,p__Chrysiogenetes,c__Chrysiogenetes,o__Chrysiogenales,,,
f__Chrysiogenaceae,o__Chrysiogenales,rank_5,f__Chrysiogenaceae,Root,r__Root,d__Bacteria,p__Chrysiogenetes,c__Chrysiogenetes,o__Chrysiogenales,f__Chrysiogenaceae,,
g__Desulfurispirillum,f__Chrysiogenaceae,rank_6,g__Desulfurispirillum,Root,r__Root,d__Bacteria,p__Chrysiogenetes,c__Chrysiogenetes,o__Chrysiogenales,f__Chrysiogenaceae,g__Desulfurispirillum,
s__Desulfurispirillum_indicum,g__Desulfurispirillum,rank_7,s__Desulfurispirillum_indicum,Root,r__Root,d__Bacteria,p__Chrysiogenetes,c__Chrysiogenetes,o__Chrysiogenales,f__Chrysiogenaceae,g__Desulfurispirillum,s__Desulfurispirillum_indicum
